ID,Title,Rating,ReleaseDate,Writers,Directors,Genre,Revenue,Runtime
103.0,"I, Frankenstein",PG-13,1/23/2014 0:00,"Kevin Grevioux, Stuart Beattie",Stuart Beattie,"Horror, Mystery & Suspense, Science Fiction & Fantasy","$71,154,592.00 ",92 minutes
104.0,The SpongeBob Movie: Sponge Out of Water,PG,2/5/2015 0:00,"Paul Tibbitt, Stephen Hillenburg, Jonathan Aibel, Glenn Berger",Paul Tibbitt,"Animation, Comedy, Kids & Family","$311,594,032.00 ",100 minutes
105.0,God Bless America,R,5/10/2012 0:00,Bobcat Goldthwait,Bobcat Goldthwait,"Comedy, Drama","$122,550.00 ",104 minutes
106.0,Lola Versus,R,6/7/2012 0:00,"Zoe Lister Jones, Zoe Lister-Jones, Daryl Wein",Daryl Wein,Comedy,"$200,000.00 ",86 minutes
107.0,Ice Age: A Mammoth Christmas,G,11/24/2011 0:00,"Mike Reiss, Sam Harper",Karen Disher,"Animation, Comedy, Kids & Family",-,26 minutes
108.0,Machete Kills,R,10/10/2013 0:00,"Robert Rodriguez, Marcel Rodriguez, Kyle Ward",Robert Rodriguez,Action & Adventure,"$15,008,161.00 ",108 minutes
109.0,Midnight in Paris,PG-13,6/9/2011 0:00,Woody Allen,Woody Allen,"Comedy, Romance","$55,400,000.00 ",94 minutes
110.0,The Wedding Ringer,R,1/15/2015 0:00,"Jay Lavender, Jeremy Garelick",Jeremy Garelick,Comedy,"$79,799,880.00 ",101 minutes
111.0,Let Us Prey,R,3/25/2015 0:00,"David Cairns, Hanna Stanbridge, Fiona Watson","Brian O'Malley, Brian S. O'Malley",Horror,-,89 minutes
112.0,Bad Words,R,3/27/2014 0:00,Andrew Dodge,Jason Bateman,Comedy,"$7,800,000.00 ",89 minutes
113.0,Love & Friendship,PG,5/12/2016 0:00,Whit Stillman,Whit Stillman,Drama,"$14,013,564.00 ",94 minutes
114.0,The Nut Job,PG,1/16/2014 0:00,"Lorne Cameron, Peter Lepeniotis, Daniel Woo",Peter Lepeniotis,"Animation, Comedy",-,86 minutes
115.0,Kill the Messenger,R,10/9/2014 0:00,"Peter Landesman, Gary Webb, Nick Schou",Michael Cuesta,"Drama, Mystery & Suspense","$2,445,646.00 ",112 minutes
116.0,Pound of Flesh,R,5/14/2015 0:00,Joshua James,Ernie Barbarash,"Action & Adventure, Drama, Mystery & Suspense",-,104 minutes
117.0,"Monsters, Inc.",G,11/1/2001 0:00,"Dan Gerson, Daniel Gerson, Andrew Stanton","David Silverman, Lee Unkrich, Peter Docter, Pete Docter","Animation, Comedy, Kids & Family, Science Fiction & Fantasy","$34,034,168.00 ",92 minutes
